"datum_zeit","dauer","themen","standbild_url","url"
2019-01-20 22:45:00,"1221","
                                Themen der Sendung:
                                Premierministerin May muss Plan B für den Brexit vorlegen, Mazedonien und Griechenland streiten um einen Namen, Weitere Meldungen im Überblick, Europäer planen Asteroiden-Abwehr, Meldungen aus dem Sport, Das Wetter
                                
                                    Hinweis:
                                    Der Beitrag zum Thema ""Fußball-Bundesliga"" darf aus rechtlichen Gründen nicht auf tagesschau.de gezeigt werden. 
                                
                            ","https://www.tagesschau.de/multimedia/bilder/sendungsbild-453295~_v-grossgalerie16x9.jpg","https://www.tagesschau.de/multimedia/sendung/tt-6511.html"
2019-01-21 22:15:00,"1821","
                                Themen der Sendung:
                                Britische Premierministerin May hält an Brexit-Kurs fest, Flandern: Opfer des Brexits, Streit um Tempolimit 130 auf deutschen Autobahnen, Der Kommentar, Weitere Meldungen im Überblick I, Bundesweiter Personalmangel bei Finanzbehörden: Ver.di fordert mehr Gehalt für Mitarbeiter des öffentlichen Dienstes, Weitere Meldungen im Überblick II, Erinnerungskultur und neue Technologien: Interaktive Hologramme von Holocaust-Überlebenden im Holocaust-Museum von Chicago, Totale Mondfinsternis sorgt für seltenes Naturschauspiel, Das Wetter
                                
                            ","https://www.tagesschau.de/multimedia/bilder/sendungsbild-453635~_v-grossgalerie16x9.jpg","https://www.tagesschau.de/multimedia/sendung/tt-6513.html"
2019-01-22 22:15:00,"1811","
                                Themen der Sendung:
                                Deutschland und Frankreich wollen mit neuem Freundschaftsvertrag näher zusammenrücken, Der Kommentar, Weitere Meldungen im Überblick I, Weltwirtschaftsforum startet in Davos, Weitere Meldungen im Überblick II, Deutschland im Handball-Fieber, Das Wetter
                                
                            ","https://www.tagesschau.de/multimedia/bilder/sendungsbild-453967~_v-grossgalerie16x9.jpg","https://www.tagesschau.de/multimedia/sendung/tt-6515.html"
2019-01-23 22:15:00,"1866","
                                Themen der Sendung:
                                Diesel-Fahrverbote: Wie gefährlich sind die Abgase wirklich?, Grenzwert-Diskussion: Wie reagieren die Autofahrer auf den Streit?, Der Kommentar, Staatskrise in Venezuela spitzt sich dramatisch zu, Zahl der Asylanträge sinkt, Weitere Meldungen im Überblick, Kinotipp: Königshaus-Drama ""The Favourite"", Das Wetter
                                
                                    Hinweis:
                                    Diese Sendung wurde nachträglich bearbeitet, weil in der Fernsehausstrahlung um 22:15 Uhr im Beitrag aus Venezuela in der Unterzeile/Bauchbinde ein Fehler vorlag. In der Anmoderation zum Thema Diesel-Fahrverbote spricht die Moderatorin fälschlicherweise von ""Stickstoff"", es muss aber ""Stickoxid"" heißen.
                                
                            ","https://www.tagesschau.de/multimedia/bilder/sendungsbild-454303~_v-grossgalerie16x9.jpg","https://www.tagesschau.de/multimedia/sendung/tt-6517.html"
2019-01-24 22:15:00,"1850","
                                Themen der Sendung:
                                USA: Shutdown und kein Ende in Sicht, Machtkampf in Venezuela: Militär warnt vor Bürgerkrieg, Neubauten in Deutschland für viele Mieter nicht bezahlbar, Der Kommentar, Weitere Meldungen im Überblick I, Verkehrsgerichtstag in Goslar beschäftigt sich mit dem autonomen Fahren, Weitere Meldungen im Überblick II, Influencer: Ist Schleichwerbung zulässig?, Das Wetter
                                
                            ","https://www.tagesschau.de/multimedia/bilder/sendungsbild-454641~_v-grossgalerie16x9.jpg","https://www.tagesschau.de/multimedia/sendung/tt-6519.html"
2019-01-25 21:10:00,"472","
                                Themen der Sendung:
                                Shutdown vorerst beendet, Schüler demonstrieren für mehr Klimaschutz, Weitere Meldungen im Überblick, Tobender Machtkampf in Venezuela, Das Wetter
                                
                            ","https://www.tagesschau.de/multimedia/bilder/sendungsbild-454969~_v-grossgalerie16x9.jpg","https://www.tagesschau.de/multimedia/sendung/tt-6521.html"
2019-01-26 23:15:00,"1187","
                                Themen der Sendung:
                                Ergebnis der Kohlekommission: Austritt in Deutschland bis 2038 empfohlen, Weitere Nachrichten im Überblick, Weltjugendtag - Hoffnungen der Indigenen, Sport, Das Wetter
                                
                                    Hinweis:
                                    Diese Sendung wurde nachträglich bearbeitet, weil in den Tagesthemen um 23:15 Uhr im Beitrag zum Ergebnis der Kohlekommission irrtümlich Namens-Inserts vertauscht wurden. Der Beitrag zum Thema Bundesliga darf aus rechtlichen Gründen nicht vollständig auf tagesschau.de gezeigt werden. 
                                
                            ","https://www.tagesschau.de/multimedia/bilder/sendungsbild-455157~_v-grossgalerie16x9.jpg","https://www.tagesschau.de/multimedia/sendung/tt-6523.html"
2019-01-27 22:45:00,"1307","
                                Themen der Sendung:
                                Nach verheerendem Dammbruch: Die Wut der Angehörigen, Holocaust-Gedenktag: ""Schindlers Liste"" wieder im Kino, Weitere Meldungen im Überblick, FDP-Europawahlkampf: Generalsekretärin wird Spitzenkandidatin, Der Sport am Sonntag, Das Wetter
                                
                                    Hinweis:
                                    Die Beiträge zur Fußball-Bundesliga dürfen aus rechtlichen Gründen nicht auf tagesschau.de gezeigt werden.
                                
                            ","https://www.tagesschau.de/multimedia/bilder/sendungsbild-455407~_v-grossgalerie16x9.jpg","https://www.tagesschau.de/multimedia/sendung/tt-6525.html"
2019-01-28 22:15:00,"1763","
                                Themen der Sendung:
                                Ost-Strategien von CDU und SPD, Wenig Begeisterung für Ostdeutschland-Pläne, Folgen des Kohleausstiegs, Der Kommentar, Weitere Meldungen im Überblick I, Die Zukunft der EU-Bürger in Großbritannien, Wie sich Briten in Deutschland auf den Brexit vorbereiten, Weitere Meldungen im Überblick II, Das Wetter
                                
                                    Hinweis:
                                    Diese Sendung wurde redaktionell bearbeitet, weil in der ersten Moderation der Fernsehausstrahlung um 22:15 Uhr die Studiobeleuchtung fehlerhaft war. 
                                
                            ","https://www.tagesschau.de/multimedia/bilder/sendungsbild-455691~_v-grossgalerie16x9.jpg","https://www.tagesschau.de/multimedia/sendung/tt-6527.html"
2019-01-29 22:15:00,"1789","
                                Themen der Sendung:
                                Tag des Parlaments: Abstimmungen über Anträge zum Brexit, Streit um den Brexit: Kampagne gegen das Parlament, Weitere Meldungen im Überblick I, Venezuela: Wer ist Juan Guaidó, Diskussion um gendergerechte Sprache, Der Kommentar, Weitere Meldungen im Überblick II, Das Wetter
                                
                            ","https://www.tagesschau.de/multimedia/bilder/sendungsbild-456039~_v-grossgalerie16x9.jpg","https://www.tagesschau.de/multimedia/sendung/tt-6529.html"
2019-01-30 22:15:00,"1818","
                                Themen der Sendung:
                                Mehr als 1.000 Kindesmissbrauchsfälle auf Campingplatz in NRW aufgedeckt, Das Dilemma um Irland und Nordirland im Brexit-Fall, Der Kommentar, Angst vor neuer Militäroffensive auf letzte syrische Rebellenhochburg Idlib, Weitere Meldungen im Überblick, Kinofilm ""Green Book"", Das Wetter
                                
                            ","https://www.tagesschau.de/multimedia/bilder/sendungsbild-456381~_v-grossgalerie16x9.jpg","https://www.tagesschau.de/multimedia/sendung/tt-6531.html"
2019-01-31 22:15:00,"1822","
                                Themen der Sendung:
                                Wie viele Schüler wissen vom Holocaust?, Holocaust-Gedenken: Friedländer nennt Deutschland Bollwerk gegen Antisemitismus, Der Kommentar, Weitere Meldungen im Überblick I, EU-Staaten gründen Schutzschirm gegen Iran-Sanktionen der USA, Machtpolitik: Russland und die USA mischen sich in Venezuela ein, Weitere Meldungen im Überblick II, Peru erobert die Gourmetwelt: Haute Cuisine im Armenviertel, Kältewelle: Arktische Temperaturen machen weiten Teilen der USA zu schaffen, Das Wetter
                                
                            ","https://www.tagesschau.de/multimedia/bilder/sendungsbild-456679~_v-grossgalerie16x9.jpg","https://www.tagesschau.de/multimedia/sendung/tt-6533.html"
2019-02-01 21:45:00,"940","
                                Themen der Sendung:
                                USA kündigen INF-Vertrag: Beide Seiten werfen sich Vertragsbruch vor, Bund und Länder einigen sich auf Eckpunkte für die Grundsteuerreform, Weitere Meldungen im Überblick, Neujahrsfest in China: Millionen auf dem Weg zur Familie, Das Wetter
                                
                            ","https://www.tagesschau.de/multimedia/bilder/sendungsbild-457011~_v-grossgalerie16x9.jpg","https://www.tagesschau.de/multimedia/sendung/tt-6535.html"
2019-02-02 23:30:00,"1235","
                                Themen der Sendung:
                                Diskussion um Messstationen für Stickstoffdioxidwerte, Machtkampf in Venezuela, INF-Abrüstungsvertrag liegt auf Eis, Weitere Meldungen im Überblick, Der Sport, Das Wetter
                                
                                    Hinweis:
                                    Die Beiträge zur ""Fußball-Bundesliga"" dürfen aus rechtlichen Gründen nicht auf tagesschau.de gezeigt werden.
                                
                            ","https://www.tagesschau.de/multimedia/bilder/sendungsbild-457215~_v-grossgalerie16x9.jpg","https://www.tagesschau.de/multimedia/sendung/tt-6537.html"
2019-02-03 22:45:00,"1225","
                                Themen der Sendung:
                                Arbeitsminister Hubertus Heil schlägt Grundrente von 900€ vor, Papst Franziskus besucht erstmals die arabische Halbinsel, Weitere Meldungen im Überblick, Das Super Bowl-Finale: Sportereignis mit politischem Beigeschmack, Der Sport, Das Wetter
                                
                                    Hinweis:
                                    Die Beiträge zum ""Super-Bowl"" und zur ""Fußball Bundesliga"" darf aus rechtlichen Gründen nicht auf tagesschau.de gezeigt werden.
                                
                            ","https://www.tagesschau.de/multimedia/bilder/sendungsbild-457441~_v-grossgalerie16x9.jpg","https://www.tagesschau.de/multimedia/sendung/tt-6539.html"
2019-02-04 22:15:00,"1794","
                                Themen der Sendung:
                                Kampf gegen Krebs: Die Chancen der Immuntherapie, Ende der fetten Jahre: Staatseinnahmen gehen zurück, Der Kommentar, Facebooks Wandel: Warum der Konzern sich neu strukturiert, Weitere Meldungen im Überblick, ""Was Deutschland bewegt"": Leben im Priesterseminar, Das Wetter
                                
                                    Hinweis:
                                    Der Beitrag zum ""Kampf gegen Krebs"" darf aus rechtlichen Gründen nicht auf tagesschau.de gezeigt werden. Der Beitrag zum ""Super Bowl"" darf aus rechtlichen Gründen nicht auf tagesschau.de gezeigt werden.
                                
                            ","https://www.tagesschau.de/multimedia/bilder/sendungsbild-458931~_v-grossgalerie16x9.jpg","https://www.tagesschau.de/multimedia/sendung/tt-6541.html"
2019-02-05 21:35:00,"461","
                                Themen der Sendung:
                                Nationale Industriestrategie: Bundeswirtschaftsminister Altmaier will Schlüsselindustrie schützen, Aus für Germania: Wieder eine deutsche Fluggesellschaft pleite, Weitere Meldungen im Überblick, Trend verschlafen: Wann wird Deutschland E-Scooter-Land?, Das Wetter
                                
                            ","https://www.tagesschau.de/multimedia/bilder/sendungsbild-458133~_v-grossgalerie16x9.jpg","https://www.tagesschau.de/multimedia/sendung/tt-6543.html"
